Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    11 ," 3,410 "," 3,090 "," 6,500 "," 3,520 "," 3,190 "," 6,710 "," 3,620 "," 3,380 "," 7,000 "," 3,830 "," 3,460 "," 7,290 "," 3,930 "," 3,530 "," 7,460 "," 4,130 "," 3,600 "," 7,730 "
    12 ," 3,510 "," 3,550 "," 7,060 "," 3,700 "," 3,630 "," 7,330 "," 3,880 "," 3,780 "," 7,660 "," 4,060 "," 3,930 "," 7,990 "," 4,150 "," 4,070 "," 8,220 "," 4,310 "," 4,120 "," 8,430 "
    13 ," 3,040 "," 2,930 "," 5,970 "," 3,150 "," 3,030 "," 6,180 "," 3,350 "," 3,210 "," 6,560 "," 3,450 "," 3,290 "," 6,740 "," 3,650 "," 3,350 "," 7,000 "," 3,740 "," 3,520 "," 7,260 "
    14 ," 3,710 "," 3,480 "," 7,190 "," 3,890 "," 3,570 "," 7,460 "," 4,060 "," 3,720 "," 7,780 "," 4,230 "," 3,860 "," 8,090 "," 4,410 "," 4,000 "," 8,410 "," 4,570 "," 4,130 "," 8,700 "
    15 ," 3,220 "," 3,110 "," 6,330 "," 3,440 "," 3,220 "," 6,660 "," 3,550 "," 3,420 "," 6,970 "," 3,770 "," 3,510 "," 7,280 "," 3,890 "," 3,590 "," 7,480 "," 4,090 "," 3,780 "," 7,870 "
    16 ," 3,050 "," 3,200 "," 6,250 "," 3,260 "," 3,310 "," 6,570 "," 3,370 "," 3,400 "," 6,770 "," 3,570 "," 3,580 "," 7,150 "," 3,680 "," 3,750 "," 7,430 "," 3,880 "," 3,840 "," 7,720 "
    17 ," 2,440 "," 2,590 "," 5,030 "," 2,580 "," 2,720 "," 5,300 "," 2,700 "," 2,820 "," 5,520 "," 2,920 "," 2,920 "," 5,840 "," 3,050 "," 3,020 "," 6,070 "," 3,160 "," 3,120 "," 6,280 "
    18 ," 2,570 "," 2,650 "," 5,220 "," 2,810 "," 2,850 "," 5,660 "," 2,930 "," 2,940 "," 5,870 "," 3,050 "," 3,020 "," 6,070 "," 3,250 "," 3,190 "," 6,440 "," 3,360 "," 3,280 "," 6,640 "
    19 ," 2,280 "," 2,300 "," 4,580 "," 2,460 "," 2,330 "," 4,790 "," 2,630 "," 2,440 "," 5,070 "," 2,790 "," 2,550 "," 5,340 "," 2,930 "," 2,640 "," 5,570 "," 3,060 "," 2,860 "," 5,920 "
    20 ," 2,170 "," 2,140 "," 4,310 "," 2,340 "," 2,330 "," 4,670 "," 2,500 "," 2,420 "," 4,920 "," 2,640 "," 2,510 "," 5,150 "," 2,870 "," 2,590 "," 5,460 "," 2,980 "," 2,750 "," 5,730 "
    21 ," 1,790 "," 1,920 "," 3,710 "," 1,850 "," 1,950 "," 3,800 "," 2,050 "," 2,090 "," 4,140 "," 2,240 "," 2,210 "," 4,450 "," 2,290 "," 2,330 "," 4,620 "," 2,450 "," 2,350 "," 4,800 "
