Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    74 , 130 , 240 , 370 , 130 , 230 , 360 , 130 , 230 , 360 , 120 , 230 , 350 , 200 , 220 , 420 , 200 , 220 , 420 
    75 , 150 , 200 , 350 , 140 , 190 , 330 , 140 , 180 , 320 , 130 , 190 , 320 , 130 , 190 , 320 , 130 , 180 , 310 
    76 , 190 , 230 , 420 , 180 , 220 , 400 , 160 , 200 , 360 , 160 , 210 , 370 , 160 , 200 , 360 , 160 , 200 , 360 
    77 , 200 , 270 , 470 , 190 , 250 , 440 , 180 , 240 , 420 , 170 , 240 , 410 , 170 , 240 , 410 , 180 , 230 , 410 
    78 , 170 , 180 , 350 , 160 , 170 , 330 , 150 , 160 , 310 , 150 , 170 , 320 , 140 , 160 , 300 , 140 , 150 , 290 
    79 , 200 , 230 , 430 , 190 , 210 , 400 , 180 , 200 , 380 , 170 , 210 , 380 , 160 , 200 , 360 , 160 , 190 , 350 
 80+ , 870 ," 1,080 "," 1,950 ", 570 ," 1,030 "," 1,600 ", 840 ," 1,490 "," 2,330 ", 750 , 940 ," 1,690 ", 910 ," 1,330 "," 2,240 ", 460 ," 1,580 "," 2,040 "
," 113,500 "," 118,900 "," 232,400 "," 116,500 "," 121,800 "," 238,300 "," 119,800 "," 124,800 "," 244,600 "," 123,000 "," 127,800 "," 250,800 "," 126,200 "," 131,000 "," 257,200 "," 129,500 "," 134,100 "," 263,600 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
