Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    62 , 490 , 580 ," 1,070 ", 490 , 580 ," 1,070 ", 490 , 580 ," 1,070 ", 500 , 590 ," 1,090 ", 520 , 720 ," 1,240 ", 610 , 720 ," 1,330 "
    63 , 330 , 480 , 810 , 330 , 480 , 810 , 460 , 480 , 940 , 470 , 490 , 960 , 490 , 510 ," 1,000 ", 500 , 510 ," 1,010 "
    64 , 440 , 540 , 980 , 430 , 530 , 960 , 520 , 530 ," 1,050 ", 520 , 550 ," 1,070 ", 530 , 560 ," 1,090 ", 540 , 570 ," 1,110 "
    65 , 510 , 740 ," 1,250 ", 570 , 800 ," 1,370 ", 560 , 780 ," 1,340 ", 570 , 780 ," 1,350 ", 580 , 860 ," 1,440 ", 580 , 870 ," 1,450 "
    66 , 590 , 920 ," 1,510 ", 580 , 900 ," 1,480 ", 670 , 900 ," 1,570 ", 670 , 910 ," 1,580 ", 670 , 920 ," 1,590 ", 670 ," 1,040 "," 1,710 "
    67 , 600 , 820 ," 1,420 ", 590 , 920 ," 1,510 ", 680 , 900 ," 1,580 ", 670 , 900 ," 1,570 ", 670 , 900 ," 1,570 ", 650 , 890 ," 1,540 "
    68 , 480 , 610 ," 1,090 ", 480 , 600 ," 1,080 ", 470 , 590 ," 1,060 ", 470 , 590 ," 1,060 ", 470 , 590 ," 1,060 ", 460 , 690 ," 1,150 "
    69 , 410 , 550 , 960 , 390 , 530 , 920 , 380 , 530 , 910 , 390 , 530 , 920 , 390 , 520 , 910 , 380 , 520 , 900 
    70 , 200 , 290 , 490 , 240 , 280 , 520 , 230 , 320 , 550 , 230 , 320 , 550 , 240 , 320 , 560 , 240 , 320 , 560 
    71 , 360 , 420 , 780 , 350 , 410 , 760 , 340 , 400 , 740 , 340 , 400 , 740 , 340 , 400 , 740 , 330 , 400 , 730 
