Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    17 ," 9,510 "," 10,390 "," 19,900 "," 9,850 "," 10,630 "," 20,480 "," 10,230 "," 10,940 "," 21,170 "," 10,480 "," 11,130 "," 21,610 "," 10,850 "," 11,420 "," 22,270 "," 11,070 "," 11,580 "," 22,650 "
    18 ," 8,880 "," 9,740 "," 18,620 "," 9,340 "," 10,050 "," 19,390 "," 9,740 "," 10,260 "," 20,000 "," 10,090 "," 10,490 "," 20,580 "," 10,310 "," 10,730 "," 21,040 "," 10,640 "," 10,960 "," 21,600 "
    19 ," 8,190 "," 9,010 "," 17,200 "," 8,660 "," 9,290 "," 17,950 "," 9,090 "," 9,530 "," 18,620 "," 9,440 "," 9,770 "," 19,210 "," 9,740 "," 10,040 "," 19,780 "," 10,010 "," 10,240 "," 20,250 "
    20 ," 7,190 "," 8,490 "," 15,680 "," 7,620 "," 8,800 "," 16,420 "," 8,140 "," 9,030 "," 17,170 "," 8,480 "," 9,310 "," 17,790 "," 8,780 "," 9,560 "," 18,340 "," 9,110 "," 9,760 "," 18,870 "
    21 ," 6,760 "," 7,490 "," 14,250 "," 7,130 "," 7,670 "," 14,800 "," 7,660 "," 7,990 "," 15,650 "," 8,130 "," 8,250 "," 16,380 "," 8,450 "," 8,410 "," 16,860 "," 8,800 "," 8,650 "," 17,450 "
    22 ," 6,560 "," 7,930 "," 14,490 "," 6,940 "," 8,170 "," 15,110 "," 7,410 "," 8,550 "," 15,960 "," 7,880 "," 8,800 "," 16,680 "," 8,330 "," 9,070 "," 17,400 "," 8,730 "," 9,260 "," 17,990 "
    23 ," 5,850 "," 7,340 "," 13,190 "," 6,060 "," 7,580 "," 13,640 "," 6,470 "," 7,880 "," 14,350 "," 6,820 "," 8,060 "," 14,880 "," 7,310 "," 8,360 "," 15,670 "," 7,640 "," 8,620 "," 16,260 "
    24 ," 5,230 "," 6,840 "," 12,070 "," 5,460 "," 6,970 "," 12,430 "," 5,650 "," 7,220 "," 12,870 "," 6,020 "," 7,470 "," 13,490 "," 6,350 "," 7,750 "," 14,100 "," 6,780 "," 8,010 "," 14,790 "
    25 ," 5,500 "," 7,220 "," 12,720 "," 5,710 "," 7,430 "," 13,140 "," 5,940 "," 7,650 "," 13,590 "," 6,140 "," 7,880 "," 14,020 "," 6,520 "," 8,140 "," 14,660 "," 6,940 "," 8,410 "," 15,350 "
    26 ," 5,240 "," 6,500 "," 11,740 "," 5,380 "," 6,730 "," 12,110 "," 5,510 "," 6,870 "," 12,380 "," 5,780 "," 7,110 "," 12,890 "," 5,990 "," 7,290 "," 13,280 "," 6,280 "," 7,540 "," 13,820 "
    27 ," 5,000 "," 6,310 "," 11,310 "," 5,240 "," 6,560 "," 11,800 "," 5,370 "," 6,720 "," 12,090 "," 5,480 "," 6,950 "," 12,430 "," 5,740 "," 7,080 "," 12,820 "," 5,940 "," 7,340 "," 13,280 "
    28 ," 4,690 "," 6,280 "," 10,970 "," 4,800 "," 6,550 "," 11,350 "," 4,990 "," 6,790 "," 11,780 "," 5,100 "," 6,990 "," 12,090 "," 5,290 "," 7,180 "," 12,470 "," 5,500 "," 7,380 "," 12,880 "
    29 ," 4,500 "," 5,710 "," 10,210 "," 4,660 "," 5,960 "," 10,620 "," 4,830 "," 6,190 "," 11,020 "," 4,980 "," 6,370 "," 11,350 "," 5,130 "," 6,640 "," 11,770 "," 5,260 "," 6,800 "," 12,060 "
    30 ," 3,910 "," 5,650 "," 9,560 "," 4,020 "," 5,940 "," 9,960 "," 4,200 "," 6,230 "," 10,430 "," 4,320 "," 6,460 "," 10,780 "," 4,490 "," 6,690 "," 11,180 "," 4,590 "," 6,870 "," 11,460 "
    31 ," 4,110 "," 4,470 "," 8,580 "," 4,160 "," 4,570 "," 8,730 "," 4,330 "," 4,860 "," 9,190 "," 4,490 "," 5,110 "," 9,600 "," 4,670 "," 5,360 "," 10,030 "," 4,840 "," 5,550 "," 10,390 "
