Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    74 , 120 , 130 , 250 , 120 , 130 , 250 , 130 , 230 , 360 , 120 , 220 , 340 , 120 , 210 , 330 , 120 , 210 , 330 
    75 , 90 , 190 , 280 , 80 , 180 , 260 , 90 , 180 , 270 , 90 , 180 , 270 , 90 , 180 , 270 , 80 , 170 , 250 
    76 , 180 , 220 , 400 , 170 , 210 , 380 , 160 , 200 , 360 , 160 , 200 , 360 , 160 , 190 , 350 , 150 , 190 , 340 
    77 , 190 , 260 , 450 , 180 , 240 , 420 , 180 , 240 , 420 , 170 , 230 , 400 , 170 , 230 , 400 , 170 , 220 , 390 
    78 , 160 , 170 , 330 , 150 , 160 , 310 , 150 , 160 , 310 , 150 , 160 , 310 , 140 , 150 , 290 , 130 , 240 , 370 
    79 , 190 , 220 , 410 , 180 , 200 , 380 , 180 , 200 , 380 , 170 , 200 , 370 , 160 , 190 , 350 , 150 , 180 , 330 
 80+ , 330 ," 1,370 "," 1,700 ", 810 ," 1,380 "," 2,190 ", 560 , 860 ," 1,420 ", 710 , 600 ," 1,310 ", 480 ," 1,100 "," 1,580 ", 230 ," 1,230 "," 1,460 "
," 111,900 "," 118,700 "," 230,600 "," 113,700 "," 120,600 "," 234,300 "," 115,500 "," 122,500 "," 238,000 "," 117,300 "," 124,400 "," 241,700 "," 119,000 "," 126,300 "," 245,300 "," 120,800 "," 128,100 "," 248,900 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
