Age,2015 Male,2015 Female,2015 Total,2016 Male,2016 Female,2016 Total,2017 Male,2017 Female,2017 Total,2018 Male,2018 Female,2018 Total,2019 Male,2019 Female,2019 Total,2020 Male,2020 Female,2020 Total
    52 , 400 , 450 , 850 , 410 , 450 , 860 , 420 , 450 , 870 , 430 , 460 , 890 , 440 , 460 , 900 , 520 , 550 ," 1,070 "
    53 , 300 , 300 , 600 , 300 , 300 , 600 , 310 , 300 , 610 , 310 , 300 , 610 , 320 , 300 , 620 , 320 , 310 , 630 
    54 , 300 , 300 , 600 , 300 , 300 , 600 , 300 , 300 , 600 , 310 , 300 , 610 , 320 , 310 , 630 , 330 , 400 , 730 
    55 , 240 , 220 , 460 , 240 , 320 , 560 , 340 , 320 , 660 , 340 , 320 , 660 , 350 , 320 , 670 , 350 , 320 , 670 
    56 , 330 , 250 , 580 , 330 , 350 , 680 , 330 , 350 , 680 , 330 , 350 , 680 , 330 , 350 , 680 , 330 , 350 , 680 
    57 , 290 , 330 , 620 , 290 , 330 , 620 , 280 , 330 , 610 , 280 , 330 , 610 , 290 , 330 , 620 , 290 , 340 , 630 
    58 , 250 , 260 , 510 , 250 , 260 , 510 , 250 , 260 , 510 , 250 , 260 , 510 , 250 , 260 , 510 , 360 , 270 , 630 
    59 , 300 , 330 , 630 , 300 , 320 , 620 , 300 , 320 , 620 , 300 , 330 , 630 , 300 , 320 , 620 , 300 , 320 , 620 
    60 , 220 , 230 , 450 , 220 , 230 , 450 , 220 , 230 , 450 , 220 , 240 , 460 , 220 , 240 , 460 , 220 , 240 , 460 
    61 , 170 , 190 , 360 , 170 , 190 , 360 , 170 , 190 , 360 , 310 , 360 , 670 , 310 , 360 , 670 , 320 , 360 , 680 
    62 , 210 , 250 , 460 , 210 , 250 , 460 , 210 , 250 , 460 , 300 , 250 , 550 , 300 , 250 , 550 , 300 , 360 , 660 
    63 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 180 , 350 , 170 , 180 , 350 , 180 , 180 , 360 
    64 , 130 , 230 , 360 , 130 , 230 , 360 , 220 , 230 , 450 , 220 , 230 , 450 , 220 , 230 , 450 , 220 , 230 , 450 
    65 , 110 , 170 , 280 , 110 , 170 , 280 , 180 , 170 , 350 , 180 , 170 , 350 , 180 , 170 , 350 , 180 , 170 , 350 
    66 , 250 , 160 , 410 , 250 , 160 , 410 , 240 , 160 , 400 , 240 , 160 , 400 , 230 , 160 , 390 , 230 , 160 , 390 
    67 , 140 , 160 , 300 , 140 , 160 , 300 , 140 , 160 , 300 , 140 , 150 , 290 , 130 , 150 , 280 , 230 , 150 , 380 
    68 , 140 , 150 , 290 , 140 , 140 , 280 , 140 , 140 , 280 , 140 , 140 , 280 , 130 , 140 , 270 , 130 , 140 , 270 
    69 , 150 , 160 , 310 , 150 , 150 , 300 , 140 , 150 , 290 , 140 , 150 , 290 , 140 , 150 , 290 , 140 , 150 , 290 
    70 , 80 , 140 , 220 , 80 , 130 , 210 , 80 , 130 , 210 , 120 , 130 , 250 , 120 , 130 , 250 , 120 , 130 , 250 
    71 , 190 , 220 , 410 , 180 , 210 , 390 , 180 , 210 , 390 , 170 , 200 , 370 , 170 , 200 , 370 , 160 , 200 , 360 
    72 , 130 , 150 , 280 , 120 , 140 , 260 , 120 , 140 , 260 , 120 , 140 , 260 , 110 , 140 , 250 , 110 , 140 , 250 
    73 , 160 , 180 , 340 , 160 , 180 , 340 , 150 , 170 , 320 , 150 , 170 , 320 , 140 , 160 , 300 , 140 , 160 , 300 
    74 , 120 , 130 , 250 , 120 , 130 , 250 , 120 , 130 , 250 , 110 , 120 , 230 , 110 , 120 , 230 , 110 , 120 , 230 
    75+ , 360 , 440 , 800 , 390 , 720 ," 1,110 ", 510 , 620 ," 1,130 ", 320 , 760 ," 1,080 ", 460 , 800 ," 1,260 ", 410 , 590 ," 1,000 "
," 75,100 "," 76,200 "," 151,300 "," 77,800 "," 78,600 "," 156,400 "," 80,400 "," 81,200 "," 161,600 "," 83,300 "," 83,800 "," 167,100 "," 86,100 "," 86,600 "," 172,700 "," 89,000 "," 89,400 "," 178,400 "
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,
