Domain Code,Domain,Country Code,Country,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1961","1961","No","525","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1962","1962","No","530","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1963","1963","No","540","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1964","1964","No","540","I","Country data reported by International Organizations where the country is a member (Semi-official) - WTO, EU, UNSD, etc."
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1965","1965","No","579","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1966","1966","No","824","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1967","1967","No","940","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1968","1968","No","1050","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1969","1969","No","1170","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1970","1970","No","1280","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1971","1971","No","1400","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1972","1972","No","1510","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1973","1973","No","1630","F","FAO estimate"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1974","1974","No","1743","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1975","1975","No","1731","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1976","1976","No","1656","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5116","In Use","2455011","Agricultural tractors","1977","1977","No","2076","Q","Official data reported on FAO Questionnaires from countries"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1961","1961","No","100","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1962","1962","No","61","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1963","1963","No","11","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1964","1964","No","397","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1965","1965","No","202","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1966","1966","No","618","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1967","1967","No","286","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1968","1968","No","178","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1969","1969","No","202","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1970","1970","No","141","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1971","1971","No","486","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1972","1972","No","119","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1973","1973","No","170","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1974","1974","No","635","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1975","1975","No","229","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1976","1976","No","635","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1977","1977","No","622","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1979","1979","No","3","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1980","1980","No","70","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1981","1981","No","111","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1982","1982","No","281","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1983","1983","No","268","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1984","1984","No","178","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1985","1985","No","261","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1986","1986","No","106","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1987","1987","No","738","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1988","1988","No","456","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1989","1989","No","352","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1990","1990","No","485","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1991","1991","No","500","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1992","1992","No","415","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1993","1993","No","415","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1994","1994","No","400","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1995","1995","No","250","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1996","1996","No","85","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1997","1997","No","115","F","FAO estimate"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1998","1998","No","169","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","1999","1999","No","202","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2000","2000","No","130","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2001","2001","No","96","Fm","Manual Estimation"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2002","2002","No","267","Fm","Manual Estimation"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2003","2003","No","107","Fm","Manual Estimation"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2004","2004","No","378","Fm","Manual Estimation"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2005","2005","No","256","Fm","Manual Estimation"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2006","2006","No","322","Fm","Manual Estimation"
"RM","Machinery","226","Uganda","5607","Import Quantity","2455009","Agricultural tractors, total","2007","2007","No","251","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1961","1961","1000 US$","270","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1962","1962","1000 US$","200","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1963","1963","1000 US$","607","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1964","1964","1000 US$","1227","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1965","1965","1000 US$","725","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1966","1966","1000 US$","1567","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1967","1967","1000 US$","1424","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1968","1968","1000 US$","964","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1969","1969","1000 US$","973","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1970","1970","1000 US$","913","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1971","1971","1000 US$","2386","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1972","1972","1000 US$","1168","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1973","1973","1000 US$","646","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1974","1974","1000 US$","2800","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1975","1975","1000 US$","1661","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1976","1976","1000 US$","4098","W","Data reported on country official publications or web sites (Official) or trade country files"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1977","1977","1000 US$","4300","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1979","1979","1000 US$","23","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1980","1980","1000 US$","560","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1981","1981","1000 US$","950","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1982","1982","1000 US$","2600","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1983","1983","1000 US$","2600","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1984","1984","1000 US$","1800","F","FAO estimate"
"RM","Machinery","226","Uganda","5622","Import Value","2455009","Agricultural tractors, total","1985","1985","1000 US$","2800","F","FAO estimate"
