Domain Code,Domain,Area Code,Area,Element Code,Element,Item Code,Item,Year Code,Year,Unit,Value,Flag,Flag Description
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1991","1991","tonnes","17000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1992","1992","tonnes","18000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1993","1993","tonnes","14000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1994","1994","tonnes","10000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1995","1995","tonnes","22000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1996","1996","tonnes","36000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1997","1997","tonnes","54000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1998","1998","tonnes","45000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","1999","1999","tonnes","52000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2000","2000","tonnes","55000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2001","2001","tonnes","53000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2002","2002","tonnes","65000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2003","2003","tonnes","65000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2004","2004","tonnes","74000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2005","2005","tonnes","82000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2006","2006","tonnes","93000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2007","2007","tonnes","92000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2008","2008","tonnes","98000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2009","2009","tonnes","100000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2010","2010","tonnes","112000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2011","2011","tonnes","102000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2012","2012","tonnes","128000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2013","2013","tonnes","135000","*","Unofficial figure"
"QD","Crops processed","226","Uganda","5510","Production","165","Molasses","2014","2014","tonnes","135000","Im","FAO data based on imputation methodology"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1961","1961","tonnes","16022","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1962","1962","tonnes","6705","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1963","1963","tonnes","15092","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1964","1964","tonnes","15996","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1965","1965","tonnes","18812","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1966","1966","tonnes","18971","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1967","1967","tonnes","19365","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1968","1968","tonnes","14239","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1969","1969","tonnes","17600","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1970","1970","tonnes","19341","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1971","1971","tonnes","16733","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1972","1972","tonnes","17178","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1973","1973","tonnes","17579","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1974","1974","tonnes","8181","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1975","1975","tonnes","5385","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1976","1976","tonnes","5429","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1977","1977","tonnes","1897","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1978","1978","tonnes","4332","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1979","1979","tonnes","861","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1980","1980","tonnes","791","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1981","1981","tonnes","986","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1982","1982","tonnes","939","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1983","1983","tonnes","2109","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1984","1984","tonnes","2628","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1985","1985","tonnes","3708","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1986","1986","tonnes","1992","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1987","1987","tonnes","1287","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1988","1988","tonnes","1054","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1989","1989","tonnes","1094","Fc","Calculated data"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1990","1990","tonnes","1226","Im","FAO data based on imputation methodology"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1991","1991","tonnes","1742","Im","FAO data based on imputation methodology"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1992","1992","tonnes","1378","Im","FAO data based on imputation methodology"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1993","1993","tonnes","2640","Im","FAO data based on imputation methodology"
"QD","Crops processed","226","Uganda","5510","Production","331","Oil, cottonseed","1994","1994","tonnes","3013","Im","FAO data based on imputation methodology"
